# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 8.004631639449777,-14.848599634653155,-2.047198528060994,-3.025266978801471,110.4365435922516,-94.24492689853298,0.15249380716958594,6.55764334670926,-18.110750244883754,-0.8934350924357385
 8.00892178238162,-14.857438086403825,-2.0601765235061715,-3.0250729757391293,110.3589216997427,-93.9491793250655,0.15121430726325086,6.613130847857456,-18.093078422345197,4.1191687128626615
 8.013157491726753,-14.86618616607433,-2.065316327844073,-1.2134459470895689,110.28273735343807,-93.65343175159803,0.14976504362208176,6.677125554901901,-17.986207290674773,25.23098800280452
 8.017365308635584,-14.874844629607656,-2.057709192420828,1.8078579909879133,110.20805540202078,-93.35768417813057,0.14813724757416188,6.75049669394843,-17.748384265615318,56.51933774977542
 8.021555593472677,-14.883414231578195,-2.045112039802497,3.0062759712233245,110.13494259610722,-93.0619366046631,0.14632178593519896,6.834252285868535,-17.448170889571124,71.645099967127
 8.025728391659785,-14.891895725203788,-2.0325674152651985,3.0062859440591647,110.06346763168652,-92.76618903119564,0.14430915060532717,6.929567500088141,-17.12878534157528,76.53989809106798
 8.02988375045027,-14.900289862359609,-2.0200751797988667,3.006295267434728,109.99370119389799,-92.47044145772816,0.142089444081804,7.037820483161847,-16.78950995718181,81.6476750865069
 8.034021718981942,-14.908597393594002,-2.0076351888154766,3.0063039117329406,109.92571600100116,-92.17469388426069,0.13965236923179908,7.160637556675969,-16.429606067923533,86.97598507665437
 8.038142348332187,-14.916819068146385,-1.9952472919927902,3.0063118445607047,109.85958684876891,-91.87894631079322,0.13698721443479647,7.299951343094013,-16.048313646151083,92.53256950901552
 8.042245691575566,-14.924955633967292,-1.9829113331026627,3.006319032664795,109.79539065492615,-91.58319873732576,0.1340828435448,7.458075720670992,-15.644851048306872,98.32533471217693
 8.046331803843978,-14.933007837740698,-1.970627149834757,3.0063254411457003,109.73320650363249,-91.2874511638583,0.13092768013081021,7.637804313044401,-15.218414769067405,104.36235013316322
 8.050400742389554,-14.940976424908722,-1.9583945736140445,3.0063310329455635,109.67311569024294,-90.99170359039081,0.12750969745202606,7.842540763428896,-14.768179149545906,110.65186030176329
